,Y,X,N,q1,q3,pred.q1,pred.q3,point.diff,lb.diff,ub.diff,Pval
1,th1_z_t2,viol_any_preg,260,0,1,-0.325647156,-0.057895676,0.267751479,-0.299256938,0.834759897,0.360602805
2,th17_z_t2,viol_any_preg,254,0,1,0.325163752,0.191588663,-0.133575089,-0.601454743,0.334304565,0.587747235
3,t2_ln_il12,viol_any_preg,260,0,1,0.72381563,0.80937635,0.085560721,-0.112807116,0.283928557,0.405165683
4,t2_ln_il21,viol_any_preg,254,0,1,0.448561231,0.291789593,-0.156771638,-0.431031873,0.117488597,0.26567611
5,t2_ln_il17,viol_any_preg,261,0,1,1.638551679,1.679115402,0.040563723,-0.159836585,0.240964031,0.704735985
6,t2_ln_ifn,viol_any_preg,261,0,1,1.886554156,1.97197708,0.085422924,-0.071918968,0.242764817,0.291121473
7,th1_z_t3,viol_any_preg,348,0,1,-0.03688985,-0.334030859,-0.297141009,-0.810472338,0.21619032,0.259515933
8,th17_z_t3,viol_any_preg,347,0,1,-0.004414163,-0.086194277,-0.081780114,-0.342828866,0.179268638,0.550409752
9,t3_ln_il12,viol_any_preg,348,0,1,0.862793473,0.819777264,-0.043016209,-0.195763306,0.109730888,0.593033006
10,t3_ln_il21,viol_any_preg,347,0,1,0.194845733,0.044918728,-0.149927005,-0.389656125,0.089802116,0.222250025
11,t3_ln_il17,viol_any_preg,352,0,1,1.383448105,1.329788761,-0.053659343,-0.201505113,0.094186426,0.486479034
12,t3_ln_ifn,viol_any_preg,307,0,1,1.971268783,1.908156284,-0.063112499,-0.232187666,0.105962669,0.473664284
13,th1_z_t2,cesd_sum_t2,581,0,47,-0.213287727,0.685493821,0.898781547,-0.54425307,2.341816165,0.224193341
14,th17_z_t2,cesd_sum_t2,482,0,47,0.157058245,-0.034655672,-0.191713917,-1.055910099,0.672482265,0.676782524
15,t2_ln_il12,cesd_sum_t2,581,0,47,0.941973421,1.131557466,0.189584045,-0.523637399,0.902805489,0.614792431
16,t2_ln_il21,cesd_sum_t2,573,0,47,0.316336215,0.334077815,0.017741601,-0.902221585,0.937704787,0.972683895
17,t2_ln_il17,cesd_sum_t2,581,0,47,1.524426459,1.407764798,-0.116661661,-0.433019938,0.199696616,0.479239986
18,t2_ln_ifn,cesd_sum_t2,582,0,47,1.915831436,2.120982544,0.205151107,-0.141950143,0.552252358,0.249357552
19,th1_z_t3,cesd_sum_t2,666,0,55,-0.067032283,-0.048525004,0.018507278,-0.449560681,0.486575238,0.943589152
20,th17_z_t3,cesd_sum_t2,656,0,55,1.444799087,0.55666269,-0.888136397,-3.190317845,1.414045051,0.458412747
21,t3_ln_il12,cesd_sum_t2,666,0,55,0.749933586,0.920349014,0.170415428,-0.234487754,0.57531861,0.417046335
22,t3_ln_il21,cesd_sum_t2,634,0,55,0.621967526,0.724782093,0.102814567,-1.507350314,1.712979448,0.908236555
23,t3_ln_il17,cesd_sum_t2,666,0,55,1.304972623,1.438848618,0.133875995,-0.399957695,0.667709685,0.635758268
24,t3_ln_ifn,cesd_sum_t2,586,0,49,1.970611784,2.057448459,0.086836675,-0.231334478,0.405007828,0.604964558
