"","Y","X","N","q1","q3","pred.q1","pred.q3","point.diff","lb.diff","ub.diff","Pval","corrected.Pval"
"1","th1_z_t2","viol_any_preg",269,0,1,0.0686314640190333,0.113050409945793,0.0444189459267595,-0.47751545209268,0.566353343946199,0.877065404139232,0.877065404139232
"2","t2_ln_il12","viol_any_preg",269,0,1,0.931454187327936,1.0074352917657,0.0759811044377676,-0.106909671671982,0.258871880547518,0.423306757418351,0.697861800410815
"3","t2_ln_ifn","viol_any_preg",270,0,1,2.06890340565259,2.10204074046164,0.0331373348090537,-0.113926871001303,0.180201540619411,0.671801038748793,0.790354163233875
"4","th2_z_t2","viol_any_preg",269,0,1,0.393857928969252,0.175572280575714,-0.218285648393538,-0.97325040120938,0.536679104422304,0.582792568409916,0.766978228182628
"5","t2_ln_il4","viol_any_preg",269,0,1,4.00389822317005,4.03599373019761,0.032095507027565,-0.132675970597283,0.196866984652413,0.715785037883305,0.795316708759228
"6","t2_ln_il5","viol_any_preg",270,0,1,0.680172403884014,0.577424069624356,-0.102748334259658,-0.275985075869776,0.0704884073504595,0.247662585402844,0.495325170805687
"7","t2_ln_il13","viol_any_preg",270,0,1,1.78168106589334,1.75321420510851,-0.0284668607848234,-0.331224941395436,0.27429121982579,0.863929796167734,0.877065404139232
"8","th17_z_t2","viol_any_preg",263,0,1,0.127091920230233,0.0129118148815352,-0.114180105348698,-0.542323249843241,0.313963039145845,0.613582582546102,0.766978228182628
"9","t2_ln_il17","viol_any_preg",270,0,1,1.51736809943591,1.45393985015495,-0.0634282492809629,-0.243016045362367,0.116159546800441,0.498728910316684,0.712469871880977
"10","t2_ln_il21","viol_any_preg",263,0,1,0.509174411734908,0.345033305211677,-0.164141106523231,-0.42435543797285,0.0960732249263883,0.218198877111952,0.495325170805687
"11","th1_z_t3","viol_any_preg",352,0,1,0.0115963961161887,-0.400429783555165,-0.412026179671354,-0.919469556936768,0.0954171975940602,0.111394145078236,0.413958574475243
"12","t3_ln_il12","viol_any_preg",352,0,1,0.817318211577179,0.677562959624228,-0.139755251952951,-0.296296042232064,0.0167855383261612,0.0797875454814747,0.413958574475243
"13","t3_ln_ifn","viol_any_preg",352,0,1,1.9619040525172,1.84701668371702,-0.114887368800183,-0.265022126166134,0.035247388565767,0.133827934114991,0.413958574475243
"14","th2_z_t3","viol_any_preg",350,0,1,0.243193020087137,-0.48275752573004,-0.725950545817177,-1.35117577060194,-0.10072532103241,0.0226811560998249,0.343222745620276
"15","t3_ln_il4","viol_any_preg",352,0,1,3.86327371980057,3.75086896077745,-0.112404759023116,-0.263398227889189,0.0385887098429564,0.144885501066335,0.413958574475243
"16","t3_ln_il5","viol_any_preg",352,0,1,0.459006915468523,0.26929821713986,-0.189708698328663,-0.365694400246354,-0.0137229964109723,0.0343222745620276,0.343222745620276
"17","t3_ln_il13","viol_any_preg",350,0,1,1.39617356750613,1.22376943982109,-0.172404127685047,-0.449751619321586,0.104943363951492,0.225126301152152,0.495325170805687
"18","th17_z_t3","viol_any_preg",347,0,1,-0.0252417481539181,-0.125715842040075,-0.100474093886157,-0.358256917323501,0.157308729551187,0.45361017026703,0.697861800410815
"19","t3_ln_il17","viol_any_preg",352,0,1,1.41057847186913,1.33729208400425,-0.0732863878648834,-0.222276554052698,0.0757037783229308,0.340300565580302,0.618728301055095
"20","t3_ln_il21","viol_any_preg",347,0,1,0.260765343758269,0.0678912133441075,-0.192874130414162,-0.429689998984334,0.0439417381560106,0.110292100348669,0.413958574475243
"21","th1_z_t2","cesd_sum_t2",592,0,48,0.0192502262762966,1.43940904282344,1.42015881654714,-0.0921337259500272,2.93245135904431,0.0652834246660863,0.977117575098889
"22","t2_ln_il12","cesd_sum_t2",592,0,48,0.912463790250267,1.27758982253831,0.365126032288039,-0.328022832067614,1.05827489664369,0.306139145992463,0.977117575098889
"23","t2_ln_ifn","cesd_sum_t2",593,0,48,2.02041992555122,2.26314439593175,0.242724470380529,-0.0802575796365809,0.565706520397639,0.141045535048615,0.977117575098889
"24","th2_z_t2","cesd_sum_t2",589,0,48,0.25748845901254,-0.0562494000756033,-0.313737859088144,-1.39830280417788,0.770827086001592,0.582600148622692,0.977117575098889
"25","t2_ln_il4","cesd_sum_t2",592,0,48,3.9354821595504,4.21753401391963,0.282051854369226,-0.171477657240802,0.735581365979255,0.224907728720285,0.977117575098889
"26","t2_ln_il5","cesd_sum_t2",593,0,48,0.591068373943178,0.53544694254344,-0.055621431399737,-0.362926725228475,0.251683862429001,0.735861674474429,0.977117575098889
"27","t2_ln_il13","cesd_sum_t2",590,0,48,1.66936527560552,1.6776437778851,0.00827850227957865,-0.503548948235671,0.520105952794828,0.977117575098889,0.977117575098889
"28","th17_z_t2","cesd_sum_t2",584,0,48,-0.116234086483368,-0.136975734665218,-0.02074164818185,-0.758351402441433,0.716868106077733,0.960038970634514,0.977117575098889
"29","t2_ln_il17","cesd_sum_t2",593,0,48,1.45207342032182,1.42835480865615,-0.0237186116656677,-0.334140772021698,0.286703548690363,0.88984582670846,0.977117575098889
"30","t2_ln_il21","cesd_sum_t2",584,0,48,0.424976476492768,0.414063281316526,-0.0109131951762421,-0.43479271737994,0.412966327027455,0.963444246057791,0.977117575098889
"31","th1_z_t3","cesd_sum_t2",666,0,55,-0.0596777538887446,0.0191870352085837,0.0788647890973283,-0.869077064696444,1.0268066428911,0.879872657122702,0.977117575098889
"32","t3_ln_il12","cesd_sum_t2",666,0,55,0.594008361647271,0.934145721159991,0.340137359512721,-0.367199896174922,1.04747461520036,0.351580669120263,0.977117575098889
"33","t3_ln_ifn","cesd_sum_t2",666,0,55,1.93700122225177,1.89517244971595,-0.0418287725358276,-0.363878250104054,0.280220705032399,0.811000438545907,0.977117575098889
"34","th2_z_t3","cesd_sum_t2",663,0,55,-0.376311697107471,0.0228349639152029,0.399146661022673,-0.153338883687932,0.951632205733279,0.157331147108729,0.977117575098889
"35","t3_ln_il4","cesd_sum_t2",666,0,55,3.60541818029966,3.86066544701516,0.255247266715496,-0.491561368279664,1.00205590171066,0.513245618802821,0.977117575098889
"36","t3_ln_il5","cesd_sum_t2",666,0,55,0.378068632944528,0.583247279892964,0.205178646948436,-0.170539828087333,0.580897121984205,0.288220212551961,0.977117575098889
"37","t3_ln_il13","cesd_sum_t2",663,0,55,1.06133733792915,1.20806892305381,0.146731585124662,-1.20432928388495,1.49779245413428,0.842422158839609,0.977117575098889
"38","th17_z_t3","cesd_sum_t2",656,0,55,1.4957533700096,0.499781347289165,-0.995972022720436,-3.37229722849686,1.38035318305599,0.419064224344179,0.977117575098889
"39","t3_ln_il17","cesd_sum_t2",666,0,55,1.35141242323549,1.44327013123727,0.0918577080017835,-0.224959864047546,0.408675280051113,0.581699804069214,0.977117575098889
"40","t3_ln_il21","cesd_sum_t2",656,0,55,0.670986908168823,0.830258734438952,0.15927182627013,-1.49777180399259,1.81631545653285,0.860844815693453,0.977117575098889
"41","th1_z_t2","cesd_sum_t2_binary",592,0,1,0.0244314419470446,-0.0445141726179753,-0.0689456145650199,-0.396981289370331,0.259090060240291,0.693529407830208,0.912757402181425
"42","t2_ln_il12","cesd_sum_t2_binary",592,0,1,0.889945086773289,0.778799913214878,-0.111145173558411,-0.232937582618511,0.0106472355016888,0.0732873109020924,0.912757402181425
"43","t2_ln_ifn","cesd_sum_t2_binary",593,0,1,2.03290275546867,2.05047466436938,0.0175719089007039,-0.0774758900640594,0.112619707865467,0.73020592174514,0.912757402181425
"44","th2_z_t2","cesd_sum_t2_binary",589,0,1,0.244767625004516,0.00674100195005992,-0.238026623054456,-0.643078413735187,0.167025167626276,0.252158499601382,0.912757402181425
"45","t2_ln_il4","cesd_sum_t2_binary",592,0,1,3.95268767310535,3.92149369387523,-0.0311939792301146,-0.140554764798911,0.0781668063386822,0.58808935175829,0.912757402181425
"46","t2_ln_il5","cesd_sum_t2_binary",593,0,1,0.585805962816398,0.555718920796482,-0.0300870420199153,-0.144684287145152,0.0845102031053218,0.619328728786755,0.912757402181425
"47","t2_ln_il13","cesd_sum_t2_binary",590,0,1,1.67123736239686,1.67189704275375,0.000659680356887127,-0.190755541611513,0.192074902325288,0.995149621303937,0.995149621303937
"48","th17_z_t2","cesd_sum_t2_binary",584,0,1,-0.137011191144091,-0.0757658304370079,0.0612453607070835,-0.214341251542419,0.336831972956585,0.676216491099245,0.912757402181425
"49","t2_ln_il17","cesd_sum_t2_binary",593,0,1,1.45268521794765,1.42887743530996,-0.023807782637686,-0.139451755436343,0.091836190160971,0.699739127497851,0.912757402181425
"50","t2_ln_il21","cesd_sum_t2_binary",584,0,1,0.426392064686043,0.412003363714499,-0.0143887009715445,-0.172909081312337,0.144131679369248,0.868727377856342,0.914449871427728
"51","th1_z_t3","cesd_sum_t2_binary",666,0,1,-0.00379732923199574,-0.157314773619423,-0.153517444387428,-0.476847288828348,0.169812400053493,0.35789384409531,0.912757402181425
"52","t3_ln_il12","cesd_sum_t2_binary",666,0,1,0.766475379090601,0.779637948082468,0.0131625689918669,-0.0994453567580507,0.125770494741784,0.830190158344963,0.914449871427728
