"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Maternal stress score","Sum score of inflammation Year 2","643","10","18","0.04","0.09","0.05 (-0.06, 0.17)","0.36"
"4","","Ln Th1/Th2 Year 2","566","10","18","-0.03","-0.07","-0.03 (-0.09, 0.03)","0.31"
"5","","Ln Th1/Th17 Year 2","560","10","18","0.32","0.34","0.03 (-0.08, 0.14)","0.63"
"6","","Ln Th1/IL-10 Year 2","637","10","18","1.37","1.35","-0.01 (-0.08, 0.05)","0.69"
"7","","Ln Th2/IL-10 Year 2","639","10","18","1.35","1.35","0.01 (-0.07, 0.08)","0.89"
"8","","Ln Th17/IL-10 Year 2","630","10","18","0.89","0.91","0.02 (-0.07, 0.1)","0.69"
"9","","Ln GM-CSF/IL-10 Year 2","652","10","18","2.33","2.33","0 (-0.12, 0.12)","1"
"10","","Ln IL-2/IL-10 Year 2","558","10","18","-2.39","-2.41","-0.02 (-0.16, 0.13)","0.82"
"11","","Ln IFN-y Year 2","569","10","18","1.95","1.96","0 (-0.07, 0.08)","0.98"
"12","","Ln CRP Year 2","1175","10","17","-0.32","-0.33","-0.01 (-0.19, 0.17)","0.9"
"13","","Ln AGP Year 2","692","10","18","-0.19","-0.18","0.01 (-0.04, 0.06)","0.75"
"14","","Ln IGF-1 Year 2","671","10","18","3.9","3.88","-0.02 (-0.08, 0.04)","0.52"
"15","","","","","","","","",""
"16","Paternal stress score","Sum score of inflammation Year 2","459","15","22","0.14","0.2","0.06 (-0.06, 0.18)","0.35"
"17","","Ln Th1/Th2 Year 2","422","15","21","-0.01","-0.03","-0.03 (-0.08, 0.03)","0.36"
"18","","Ln Th1/Th17 Year 2","477","15","22","0.35","0.32","-0.03 (-0.09, 0.02)","0.23"
"19","","Ln Th1/IL-10 Year 2","455","15","22","1.39","1.4","0.01 (-0.06, 0.08)","0.81"
"20","","Ln Th2/IL-10 Year 2","467","15","22","1.46","1.48","0.01 (-0.07, 0.1)","0.77"
"21","","Ln Th17/IL-10 Year 2","453","15","22","0.91","0.92","0.01 (-0.07, 0.1)","0.8"
"22","","Ln GM-CSF/IL-10 Year 2","478","15","22","2.33","2.55","0.21 (-0.06, 0.48)","0.12"
"23","","Ln IL-2/IL-10 Year 2","415","15","21","-2.49","-2.46","0.03 (-0.11, 0.17)","0.69"
"24","","Ln IFN-y Year 2","423","14.5","21","2.05","2.04","-0.01 (-0.09, 0.07)","0.82"
"25","","Ln CRP Year 2","863","15","22","-0.17","-0.23","-0.06 (-0.18, 0.06)","0.33"
"26","","Ln AGP Year 2","525","15","22","-0.21","-0.17","0.05 (-0.01, 0.1)","0.09"
"27","","Ln IGF-1 Year 2","422","15","21","3.74","3.78","0.04 (-0.01, 0.09)","0.11"
